
ALGORITHM FINISHED?: False
('110111', '83.3333333333', 'GENERATION: 6')
('110111', '83.3333333333', 'GENERATION: 6')
('110111', '83.3333333333', 'GENERATION: 6')
('110111', '83.3333333333', 'GENERATION: 6')
('110111', '83.3333333333', 'GENERATION: 6')
('110111', '83.3333333333', 'GENERATION: 6')
('110111', '83.3333333333', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('100111', '66.6666666667', 'GENERATION: 6')
('110011', '66.6666666667', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('110010', '50.0', 'GENERATION: 6')
('100101', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('110010', '50.0', 'GENERATION: 6')
('100101', '50.0', 'GENERATION: 6')
('001101', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('110010', '50.0', 'GENERATION: 6')
('100101', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('100110', '50.0', 'GENERATION: 6')
('110010', '50.0', 'GENERATION: 6')
('100101', '50.0', 'GENERATION: 6')
('001101', '50.0', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('100100', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001001', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
('001010', '33.3333333333', 'GENERATION: 6')
